APMC,Commodity,Year,arrivals_in_qtl,min_price,max_price,modal_price,date,district_name,month,joined
jalgaon jamod-aasalgaon,pigeon pea (tur),2014,1300,4267,4833,4550,2014-09-01,Buldhana,9,pigeon pea (tur)_jalgaon jamod-aasalgaon
umared,pigeon pea (tur),2014,20,4161,4483,4322,2014-09-01,Nagpur,9,pigeon pea (tur)_umared
kopargaon,maize,2014,59,990,1165,1061,2014-09-01,Ahmadnagar,9,maize_kopargaon
kopargaon,gram,2014,428,2087,2668,2493,2014-09-01,Ahmadnagar,9,gram_kopargaon
umared,gram,2014,612,2526,2789,2657,2014-09-01,Nagpur,9,gram_umared
kopargaon,soybean,2014,216,2954,3247,3138,2014-09-01,Ahmadnagar,9,soybean_kopargaon
newasa,wheat(husked),2014,434,1457,1528,1484,2014-09-01,Ahmadnagar,9,wheat(husked)_newasa
umared,rice(paddy-hus),2014,4017,2000,4463,3231,2014-09-01,Nagpur,9,rice(paddy-hus)_umared
pathardi,sorgum(jawar),2014,5295,1262,1668,1443,2014-09-01,Ahmadnagar,9,sorgum(jawar)_pathardi
pathardi,onion,2014,3370,208,1723,1308,2014-09-01,Ahmadnagar,9,onion_pathardi
umared,sorgum(jawar),2014,4,1775,1775,1775,2014-09-01,Nagpur,9,sorgum(jawar)_umared
rahata,bajri,2014,46,1385,1421,1397,2014-09-01,Ahmadnagar,9,bajri_rahata
rahata,wheat(husked),2014,379,1458,1532,1490,2014-09-01,Ahmadnagar,9,wheat(husked)_rahata
umared,wheat(husked),2014,2807,1500,1844,1672,2014-09-01,Nagpur,9,wheat(husked)_umared
rahata,sorgum(jawar),2014,45,1381,1440,1382,2014-09-01,Ahmadnagar,9,sorgum(jawar)_rahata
rahata,maize,2014,8,1475,1475,1475,2014-09-01,Ahmadnagar,9,maize_rahata
savner,soybean,2014,137,2687,2966,2826,2014-09-01,Nagpur,9,soybean_savner
rahata,gram,2014,79,2475,2617,2550,2014-09-01,Ahmadnagar,9,gram_rahata
nagpur,green chilli,2014,3450,2531,3000,2765,2014-09-01,Nagpur,9,green chilli_nagpur
rahata,capsicum,2014,65,1842,2667,2258,2014-09-01,Ahmadnagar,9,capsicum_rahata
rahata,garlic,2014,39,3092,3515,3277,2014-09-01,Ahmadnagar,9,garlic_rahata
nagpur,chillies(red),2014,13733,5038,7019,6029,2014-09-01,Nagpur,9,chillies(red)_nagpur
rahata,bitter gourd,2014,81,2131,2777,2400,2014-09-01,Ahmadnagar,9,bitter gourd_rahata
rahata,onion,2014,73883,440,2070,1405,2014-09-01,Ahmadnagar,9,onion_rahata
kopargaon,sorgum(jawar),2014,38,1396,1416,1416,2014-09-01,Ahmadnagar,9,sorgum(jawar)_kopargaon
savner,wheat(husked),2014,627,1391,1434,1413,2014-09-01,Nagpur,9,wheat(husked)_savner
rahata,carrot,2014,6,1750,1750,1750,2014-09-01,Ahmadnagar,9,carrot_rahata
savner,gram,2014,470,2347,2576,2462,2014-09-01,Nagpur,9,gram_savner
rahata,bottle gourd,2014,199,269,508,369,2014-09-01,Ahmadnagar,9,bottle gourd_rahata
rahata,ladies finger,2014,130,1617,2308,1992,2014-09-01,Ahmadnagar,9,ladies finger_rahata
savner,pigeon pea (tur),2014,356,4233,4587,4410,2014-09-01,Nagpur,9,pigeon pea (tur)_savner
rahata,potato,2014,126,1954,2423,2154,2014-09-01,Ahmadnagar,9,potato_rahata
rahata,cucumber,2014,162,769,1146,938,2014-09-01,Ahmadnagar,9,cucumber_rahata
rahata,shevga,2014,2,4000,4000,4000,2014-09-01,Ahmadnagar,9,shevga_rahata
kopargaon,wheat(husked),2014,1731,1432,1644,1569,2014-09-01,Ahmadnagar,9,wheat(husked)_kopargaon
kopargaon,bajri,2014,466,1220,1472,1383,2014-09-01,Ahmadnagar,9,bajri_kopargaon
lasalgaon,wheat(husked),2014,2638,1526,1776,1578,2014-09-01,Nasik,9,wheat(husked)_lasalgaon
lasalgaon,sorgum(jawar),2014,13,1737,1737,1737,2014-09-01,Nasik,9,sorgum(jawar)_lasalgaon
lasalgaon,maize,2014,623,1247,1361,1336,2014-09-01,Nasik,9,maize_lasalgaon
lasalgaon,gram,2014,542,2315,2828,2691,2014-09-01,Nasik,9,gram_lasalgaon
lasalgaon,soybean,2014,925,1954,3507,3431,2014-09-01,Nasik,9,soybean_lasalgaon
malegaon,bajri,2014,4934,1253,1589,1439,2014-09-01,Nasik,9,bajri_malegaon
malegaon,wheat(husked),2014,2611,1316,1713,1536,2014-09-01,Nasik,9,wheat(husked)_malegaon
malegaon,maize,2014,670,1124,1274,1219,2014-09-01,Nasik,9,maize_malegaon
malegaon,onion,2014,98246,389,1364,1106,2014-09-01,Nasik,9,onion_malegaon
manmad,bajri,2014,704,1311,1573,1501,2014-09-01,Nasik,9,bajri_manmad
manmad,wheat(husked),2014,158,1486,1746,1624,2014-09-01,Nasik,9,wheat(husked)_manmad
manmad,maize,2014,340,1249,1340,1287,2014-09-01,Nasik,9,maize_manmad
manmad,gram,2014,3,2220,2771,2467,2014-09-01,Nasik,9,gram_manmad
pimpalgaon (b)-saykheda,onion,2014,103929,497,1635,1188,2014-09-01,Nasik,9,onion_pimpalgaon (b)-saykheda
pimpalgaon basawant,pomegranate,2014,23599,250,7538,4175,2014-09-01,Nasik,9,pomegranate_pimpalgaon basawant
sinner,bajri,2014,889,1137,1493,1346,2014-09-01,Nasik,9,bajri_sinner
sinner,wheat(husked),2014,2063,1563,1711,1619,2014-09-01,Nasik,9,wheat(husked)_sinner
jamkhed,onion,2014,616,217,1756,986,2014-09-01,Ahmadnagar,9,onion_jamkhed
jamkhed,sorgum(jawar),2014,12288,1867,3062,2464,2014-09-01,Ahmadnagar,9,sorgum(jawar)_jamkhed
umared,coriander (dry),2014,22,9573,9728,9650,2014-09-01,Nagpur,9,coriander (dry)_umared
jamkhed,bajri,2014,410,1302,1498,1400,2014-09-01,Ahmadnagar,9,bajri_jamkhed
akole,gram,2014,17,3000,3133,3067,2014-09-01,Ahmadnagar,9,gram_akole
akole,wheat(husked),2014,60,1475,1900,1706,2014-09-01,Ahmadnagar,9,wheat(husked)_akole
umared,soybean,2014,1028,2988,3169,3063,2014-09-01,Nagpur,9,soybean_umared
akole,paddy-unhusked,2014,119,1450,1900,1681,2014-09-01,Ahmadnagar,9,paddy-unhusked_akole
yeola,maize,2014,39,1188,1214,1208,2014-09-01,Nasik,9,maize_yeola
yeola,wheat(husked),2014,289,1509,1665,1575,2014-09-01,Nasik,9,wheat(husked)_yeola
yeola,bajri,2014,437,1272,1443,1353,2014-09-01,Nasik,9,bajri_yeola
sinner,gram,2014,138,1878,2658,2443,2014-09-01,Nasik,9,gram_sinner
sinner,maize,2014,185,1242,1322,1291,2014-09-01,Nasik,9,maize_sinner
sinner,sorgum(jawar),2014,163,1360,1865,1609,2014-09-01,Nasik,9,sorgum(jawar)_sinner
akole,bajri,2014,25,1467,1733,1650,2014-09-01,Ahmadnagar,9,bajri_akole
lasalgaon,bajri,2014,388,1289,1615,1462,2014-09-01,Nasik,9,bajri_lasalgaon
nagpur,brinjal,2014,7200,1088,1362,1225,2014-09-01,Nagpur,9,brinjal_nagpur
nagpur,small gourd,2014,1540,1092,1304,1198,2014-09-01,Nagpur,9,small gourd_nagpur
shrirampur,bottle gourd,2014,78,786,986,886,2014-09-01,Ahmadnagar,9,bottle gourd_shrirampur
shrirampur,flower,2014,142,548,748,648,2014-09-01,Ahmadnagar,9,flower_shrirampur
shrirampur,cucumber,2014,154,761,961,861,2014-09-01,Ahmadnagar,9,cucumber_shrirampur
shrirampur,cabbage,2014,110,736,936,836,2014-09-01,Ahmadnagar,9,cabbage_shrirampur
shrirampur,garlic,2014,119,2500,3375,2938,2014-09-01,Ahmadnagar,9,garlic_shrirampur
shrirampur,capsicum,2014,190,1657,2176,1917,2014-09-01,Ahmadnagar,9,capsicum_shrirampur
shrirampur,brinjal,2014,282,1030,1500,1265,2014-09-01,Ahmadnagar,9,brinjal_shrirampur
shrirampur,green chilli,2014,287,3214,4214,3752,2014-09-01,Ahmadnagar,9,green chilli_shrirampur
mumbai,cowpea,2014,7015,4732,6968,5734,2014-09-01,Mumbai,9,cowpea_mumbai
mumbai,spilt pigeon pea,2014,49110,5984,7484,6584,2014-09-01,Mumbai,9,spilt pigeon pea_mumbai
mumbai,pineapple,2014,12448,1373,2609,2000,2014-09-01,Mumbai,9,pineapple_mumbai
mumbai,mosambi,2014,45942,1529,2754,2142,2014-09-01,Mumbai,9,mosambi_mumbai
mumbai,papai,2014,35801,525,1567,1021,2014-09-01,Mumbai,9,papai_mumbai
mumbai,guava,2014,2204,1377,2591,1984,2014-09-01,Mumbai,9,guava_mumbai
mumbai,apple,2014,95024,3820,5860,4840,2014-09-01,Mumbai,9,apple_mumbai
mumbai,orange,2014,9980,1776,2972,2374,2014-09-01,Mumbai,9,orange_mumbai
mumbai,melon,2014,15021,1220,1672,1446,2014-09-01,Mumbai,9,melon_mumbai
kalamb (os),sorgum(jawar),2014,4844,1423,1850,1637,2014-09-01,Osmanabad,9,sorgum(jawar)_kalamb (os)
mumbai,chillies(red),2014,11813,8557,12487,10539,2014-09-01,Mumbai,9,chillies(red)_mumbai
mumbai,green chilli,2014,57490,2232,3488,2880,2014-09-01,Mumbai,9,green chilli_mumbai
mumbai,garlic,2014,18360,2792,5792,4292,2014-09-01,Mumbai,9,garlic_mumbai
mumbai,brinjal,2014,16630,984,2760,1872,2014-09-01,Mumbai,9,brinjal_mumbai
mumbai,ridge gourd,2014,7810,2368,2984,2676,2014-09-01,Mumbai,9,ridge gourd_mumbai
shrirampur,ladies finger,2014,192,1977,2614,2330,2014-09-01,Ahmadnagar,9,ladies finger_shrirampur
mumbai,sweet potato,2014,9950,1274,1863,1568,2014-09-01,Mumbai,9,sweet potato_mumbai
mumbai,capsicum,2014,27050,2160,2800,2480,2014-09-01,Mumbai,9,capsicum_mumbai
mumbai,cabbage,2014,58220,824,1224,1024,2014-09-01,Mumbai,9,cabbage_mumbai
mumbai,bitter gourd,2014,8400,2328,2944,2636,2014-09-01,Mumbai,9,bitter gourd_mumbai
mumbai,carrot,2014,18650,2512,3328,2920,2014-09-01,Mumbai,9,carrot_mumbai
mumbai,flower,2014,39400,1560,2136,1848,2014-09-01,Mumbai,9,flower_mumbai
mumbai,ladies finger,2014,34280,1640,3176,2408,2014-09-01,Mumbai,9,ladies finger_mumbai
mumbai,snake gourd,2014,8070,904,1356,1130,2014-09-01,Mumbai,9,snake gourd_mumbai
rahata,tomato,2014,252,1138,1923,1546,2014-09-01,Ahmadnagar,9,tomato_rahata
shrirampur,potato,2014,1780,1629,1829,1729,2014-09-01,Ahmadnagar,9,potato_shrirampur
shrirampur,papai,2014,45,542,742,642,2014-09-01,Ahmadnagar,9,papai_shrirampur
rahata,small gourd,2014,2,1800,1800,1800,2014-09-01,Ahmadnagar,9,small gourd_rahata
nagpur,tomato,2014,14550,1640,1900,1770,2014-09-01,Nagpur,9,tomato_nagpur
rahata,brinjal,2014,76,1377,1877,1608,2014-09-01,Ahmadnagar,9,brinjal_rahata
nagpur,spinach,2014,2450,1323,1573,1448,2014-09-01,Nagpur,9,spinach_nagpur
rahuri-vambori,bajri,2014,434,1262,1611,1482,2014-09-01,Ahmadnagar,9,bajri_rahuri-vambori
nagpur,capsicum,2014,1800,2815,3246,3031,2014-09-01,Nagpur,9,capsicum_nagpur
rahuri-vambori,wheat(husked),2014,509,1487,1756,1622,2014-09-01,Ahmadnagar,9,wheat(husked)_rahuri-vambori
nagpur,coriander,2014,4650,2323,2792,2558,2014-09-01,Nagpur,9,coriander_nagpur
rahuri-vambori,sorgum(jawar),2014,178,1611,1935,1773,2014-09-01,Ahmadnagar,9,sorgum(jawar)_rahuri-vambori
nagpur,cabbage,2014,6400,938,1169,1054,2014-09-01,Nagpur,9,cabbage_nagpur
rahuri-vambori,gram,2014,185,2165,2647,2406,2014-09-01,Ahmadnagar,9,gram_rahuri-vambori
nagpur,onion,2014,81688,1055,1779,1417,2014-09-01,Nagpur,9,onion_nagpur
rahuri-vambori,soybean,2014,233,3148,3267,3207,2014-09-01,Ahmadnagar,9,soybean_rahuri-vambori
rahuri-vambori,onion,2014,47972,136,1991,1064,2014-09-01,Ahmadnagar,9,onion_rahuri-vambori
sangamner,bajri,2014,200,1350,1613,1469,2014-09-01,Ahmadnagar,9,bajri_sangamner
sangamner,wheat(husked),2014,176,1425,1638,1537,2014-09-01,Ahmadnagar,9,wheat(husked)_sangamner
shevgaon,bajri,2014,918,1068,1268,1217,2014-09-01,Ahmadnagar,9,bajri_shevgaon
shrirampur,mosambi,2014,75,1500,2077,1788,2014-09-01,Ahmadnagar,9,mosambi_shrirampur
shrirampur,lemon,2014,49,1538,2269,1904,2014-09-01,Ahmadnagar,9,lemon_shrirampur
shrirampur,pomegranate,2014,394,3476,4476,3988,2014-09-01,Ahmadnagar,9,pomegranate_shrirampur
shrirampur,chikoo,2014,4,1500,2500,2000,2014-09-01,Ahmadnagar,9,chikoo_shrirampur
shrirampur,gram,2014,895,2288,2818,2684,2014-09-01,Ahmadnagar,9,gram_shrirampur
shrirampur,maize,2014,19,1546,1557,1547,2014-09-01,Ahmadnagar,9,maize_shrirampur
shrirampur,ginger (fresh),2014,186,4357,5238,4798,2014-09-01,Ahmadnagar,9,ginger (fresh)_shrirampur
shrirampur,sorgum(jawar),2014,533,1544,1918,1801,2014-09-01,Ahmadnagar,9,sorgum(jawar)_shrirampur
shevgaon-bodhegaon,sorgum(jawar),2014,855,1541,1839,1697,2014-09-01,Ahmadnagar,9,sorgum(jawar)_shevgaon-bodhegaon
shevgaon-bodhegaon,wheat(husked),2014,231,1444,1460,1444,2014-09-01,Ahmadnagar,9,wheat(husked)_shevgaon-bodhegaon
shevgaon-bodhegaon,bajri,2014,609,1188,1280,1216,2014-09-01,Ahmadnagar,9,bajri_shevgaon-bodhegaon
shevgaon,gram,2014,45,2070,2445,2300,2014-09-01,Ahmadnagar,9,gram_shevgaon
shevgaon,sorgum(jawar),2014,1248,1474,1815,1637,2014-09-01,Ahmadnagar,9,sorgum(jawar)_shevgaon
shevgaon,wheat(husked),2014,1265,1461,1640,1524,2014-09-01,Ahmadnagar,9,wheat(husked)_shevgaon
shrirampur,wheat(husked),2014,1378,1413,1725,1602,2014-09-01,Ahmadnagar,9,wheat(husked)_shrirampur
kalamb (os),maize,2014,26,1225,1295,1279,2014-09-01,Osmanabad,9,maize_kalamb (os)
devala,wheat(husked),2014,54,1562,1635,1587,2014-09-01,Nasik,9,wheat(husked)_devala
bhokar,wheat(husked),2014,442,1338,1517,1421,2014-09-01,Nanded,9,wheat(husked)_bhokar
pandharpur,capsicum,2014,111,778,2833,2289,2014-09-01,Solapur,9,capsicum_pandharpur
pandharpur,cabbage,2014,128,486,1029,736,2014-09-01,Solapur,9,cabbage_pandharpur
pandharpur,onion,2014,1066,424,2077,1697,2014-09-01,Solapur,9,onion_pandharpur
pandharpur,pomegranate,2014,10890,1167,5133,2867,2014-09-01,Solapur,9,pomegranate_pandharpur
mohol,maize,2014,177,1389,1462,1433,2014-09-01,Solapur,9,maize_mohol
mohol,sorgum(jawar),2014,313,1560,2357,2153,2014-09-01,Solapur,9,sorgum(jawar)_mohol
mohol,wheat(husked),2014,119,1422,2019,1554,2014-09-01,Solapur,9,wheat(husked)_mohol
mangalwedha,green chilli,2014,193,1920,3376,2564,2014-09-01,Solapur,9,green chilli_mangalwedha
mangalwedha,brinjal,2014,384,620,5194,2280,2014-09-01,Solapur,9,brinjal_mangalwedha
mangalwedha,tomato,2014,1238,298,1508,880,2014-09-01,Solapur,9,tomato_mangalwedha
mangalwedha,ridge gourd,2014,80,1642,3358,2471,2014-09-01,Solapur,9,ridge gourd_mangalwedha
mangalwedha,bitter gourd,2014,104,1396,3264,2544,2014-09-01,Solapur,9,bitter gourd_mangalwedha
mangalwedha,ladies finger,2014,103,1416,3240,2372,2014-09-01,Solapur,9,ladies finger_mangalwedha
mangalwedha,gram,2014,580,2032,2935,2519,2014-09-01,Solapur,9,gram_mangalwedha
mangalwedha,maize,2014,348,1385,1457,1427,2014-09-01,Solapur,9,maize_mangalwedha
mangalwedha,sorgum(jawar),2014,2154,1632,2396,2050,2014-09-01,Solapur,9,sorgum(jawar)_mangalwedha
kurdwadi,gram,2014,50,2453,2765,2610,2014-09-01,Solapur,9,gram_kurdwadi
barshi,lemon,2014,113,136,196,167,2014-09-01,Solapur,9,lemon_barshi
barshi,flower,2014,123,47,93,72,2014-09-01,Solapur,9,flower_barshi
barshi,cluster bean,2014,69,142,261,213,2014-09-01,Solapur,9,cluster bean_barshi
barshi,tomato,2014,144,66,115,90,2014-09-01,Solapur,9,tomato_barshi
barshi,brinjal,2014,144,150,275,225,2014-09-01,Solapur,9,brinjal_barshi
barshi,turmeric,2014,376,4035,5097,4645,2014-09-01,Solapur,9,turmeric_barshi
pandharpur,tomato,2014,377,256,1507,978,2014-09-01,Solapur,9,tomato_pandharpur
barshi-vairag,sorgum(jawar),2014,1678,1163,2061,1726,2014-09-01,Solapur,9,sorgum(jawar)_barshi-vairag
dudhani,sorgum(jawar),2014,2861,1228,1787,1419,2014-09-01,Solapur,9,sorgum(jawar)_dudhani
dudhani,gram,2014,354,2582,2992,2809,2014-09-01,Solapur,9,gram_dudhani
dudhani,pigeon pea (tur),2014,503,4887,5127,5077,2014-09-01,Solapur,9,pigeon pea (tur)_dudhani
kurdwadi,wheat(husked),2014,42,1348,1450,1399,2014-09-01,Solapur,9,wheat(husked)_kurdwadi
kurdwadi,sorgum(jawar),2014,454,1353,2610,1981,2014-09-01,Solapur,9,sorgum(jawar)_kurdwadi
kurdwadi,maize,2014,54,1315,1337,1326,2014-09-01,Solapur,9,maize_kurdwadi
dudhani,wheat(husked),2014,278,1380,1605,1474,2014-09-01,Solapur,9,wheat(husked)_dudhani
barshi,black gram,2014,853,4956,6276,5794,2014-09-01,Solapur,9,black gram_barshi
pandharpur,brinjal,2014,117,420,3095,1760,2014-09-01,Solapur,9,brinjal_pandharpur
sangola,pomegranate,2014,16671,819,4425,2674,2014-09-01,Solapur,9,pomegranate_sangola
nandura,pigeon pea (tur),2014,2892,4361,4916,4674,2014-09-01,Buldhana,9,pigeon pea (tur)_nandura
nandura,black gram,2014,5,4500,5750,5200,2014-09-01,Buldhana,9,black gram_nandura
nandura,soybean,2014,786,2946,3342,3171,2014-09-01,Buldhana,9,soybean_nandura
nandura,sesamum,2014,10,8883,10700,9867,2014-09-01,Buldhana,9,sesamum_nandura
shegaon,wheat(husked),2014,815,1428,1511,1471,2014-09-01,Buldhana,9,wheat(husked)_shegaon
shegaon,sorgum(jawar),2014,272,1132,1205,1177,2014-09-01,Buldhana,9,sorgum(jawar)_shegaon
shegaon,gram,2014,611,2198,2660,2431,2014-09-01,Buldhana,9,gram_shegaon
shegaon,green gram,2014,881,5542,5912,5726,2014-09-01,Buldhana,9,green gram_shegaon
shegaon,pigeon pea (tur),2014,290,4290,4628,4507,2014-09-01,Buldhana,9,pigeon pea (tur)_shegaon
shegaon,black gram,2014,49,4082,4224,4195,2014-09-01,Buldhana,9,black gram_shegaon
shegaon,soybean,2014,159,2893,3099,3033,2014-09-01,Buldhana,9,soybean_shegaon
shegaon,sesamum,2014,2,8500,8500,8500,2014-09-01,Buldhana,9,sesamum_shegaon
solapur,chillies(red),2014,109,5987,9707,8073,2014-09-01,Solapur,9,chillies(red)_solapur
solapur,green chilli,2014,1053,1221,2983,2081,2014-09-01,Solapur,9,green chilli_solapur
solapur,garlic,2014,3142,2392,4858,3581,2014-09-01,Solapur,9,garlic_solapur
solapur,brinjal,2014,874,652,3506,1860,2014-09-01,Solapur,9,brinjal_solapur
solapur,tomato,2014,29649,146,1715,937,2014-09-01,Solapur,9,tomato_solapur
solapur,rice(paddy-hus),2014,24479,2160,5732,3834,2014-09-01,Solapur,9,rice(paddy-hus)_solapur
solapur,pigeon pea (tur),2014,79,4490,4692,4644,2014-09-01,Solapur,9,pigeon pea (tur)_solapur
solapur,pomegranate,2014,59054,1173,8835,3260,2014-09-01,Solapur,9,pomegranate_solapur
solapur,banana,2014,750,454,911,757,2014-09-01,Solapur,9,banana_solapur
solapur,lemon,2014,1157,360,4716,1940,2014-09-01,Solapur,9,lemon_solapur
solapur,potato,2014,19938,1629,2767,2122,2014-09-01,Solapur,9,potato_solapur
pandharpur,green chilli,2014,212,683,3500,2389,2014-09-01,Solapur,9,green chilli_pandharpur
solapur,ladies finger,2014,645,534,3312,1936,2014-09-01,Solapur,9,ladies finger_solapur
solapur,cluster bean,2014,339,1196,3688,2219,2014-09-01,Solapur,9,cluster bean_solapur
solapur,cucumber,2014,3825,304,1884,1082,2014-09-01,Solapur,9,cucumber_solapur
solapur,onion,2014,119330,103,2384,1192,2014-09-01,Solapur,9,onion_solapur
solapur,bitter gourd,2014,302,930,2779,1875,2014-09-01,Solapur,9,bitter gourd_solapur
solapur,cabbage,2014,1431,314,764,520,2014-09-01,Solapur,9,cabbage_solapur
solapur,capsicum,2014,1049,746,2267,1377,2014-09-01,Solapur,9,capsicum_solapur
solapur,carrot,2014,47,693,1707,1086,2014-09-01,Solapur,9,carrot_solapur
devala,bajri,2014,648,1304,1555,1453,2014-09-01,Nasik,9,bajri_devala
barshi,pigeon pea (tur),2014,884,3942,4341,4142,2014-09-01,Solapur,9,pigeon pea (tur)_barshi
barshi,gram,2014,1378,2198,2853,2536,2014-09-01,Solapur,9,gram_barshi
jalgaon,jaggery,2014,186,3115,3501,3331,2014-09-01,Jalgaon,9,jaggery_jalgaon
jalgaon,black gram,2014,1766,4812,5020,4945,2014-09-01,Jalgaon,9,black gram_jalgaon
jalgaon,gram,2014,331,2728,2905,2813,2014-09-01,Jalgaon,9,gram_jalgaon
jalgaon,maize,2014,18,1250,1300,1300,2014-09-01,Jalgaon,9,maize_jalgaon
jalgaon,sorgum(jawar),2014,972,1504,1592,1548,2014-09-01,Jalgaon,9,sorgum(jawar)_jalgaon
jalgaon,wheat(husked),2014,332,1444,1484,1454,2014-09-01,Jalgaon,9,wheat(husked)_jalgaon
jalgaon,bajri,2014,421,1400,1448,1406,2014-09-01,Jalgaon,9,bajri_jalgaon
chopda,gram,2014,111,2545,2722,2698,2014-09-01,Jalgaon,9,gram_chopda
chopda,maize,2014,109,1069,1148,1104,2014-09-01,Jalgaon,9,maize_chopda
chopda,sorgum(jawar),2014,200,1382,1629,1570,2014-09-01,Jalgaon,9,sorgum(jawar)_chopda
chopda,wheat(husked),2014,612,1426,1523,1500,2014-09-01,Jalgaon,9,wheat(husked)_chopda
chopda,bajri,2014,420,1230,1353,1340,2014-09-01,Jalgaon,9,bajri_chopda
bhusaval,sorgum(jawar),2014,103,1088,1148,1127,2014-09-01,Jalgaon,9,sorgum(jawar)_bhusaval
bhusaval,wheat(husked),2014,428,1253,1381,1335,2014-09-01,Jalgaon,9,wheat(husked)_bhusaval
ausa,sorgum(jawar),2014,934,1277,1514,1372,2014-09-01,Latur,9,sorgum(jawar)_ausa
ausa,gram,2014,261,2060,2472,2315,2014-09-01,Latur,9,gram_ausa
ausa,pigeon pea (tur),2014,80,4265,4654,4473,2014-09-01,Latur,9,pigeon pea (tur)_ausa
bhokar,pigeon pea (tur),2014,213,4212,4711,4449,2014-09-01,Nanded,9,pigeon pea (tur)_bhokar
bhokar,sesamum,2014,188,9863,10559,10190,2014-09-01,Nanded,9,sesamum_bhokar
nagbhid,paddy-unhusked,2014,15902,2257,2500,2378,2014-09-01,Chandrapur,9,paddy-unhusked_nagbhid
bhokar,turmeric,2014,112,4034,4954,4600,2014-09-01,Nanded,9,turmeric_bhokar
nanded,sorgum(jawar),2014,26,1230,1250,1230,2014-09-01,Nanded,9,sorgum(jawar)_nanded
mul,paddy-unhusked,2014,23693,2207,2584,2397,2014-09-01,Chandrapur,9,paddy-unhusked_mul
jalgaon,pomegranate,2014,164,1600,5700,3600,2014-09-01,Jalgaon,9,pomegranate_jalgaon
nanded,pigeon pea (tur),2014,14,3200,4600,4500,2014-09-01,Nanded,9,pigeon pea (tur)_nanded
udgir,gram,2014,1994,2320,2970,2645,2014-09-01,Latur,9,gram_udgir
latur,pigeon pea (tur),2014,5609,4209,5183,4717,2014-09-01,Latur,9,pigeon pea (tur)_latur
latur,green gram,2014,4882,4867,7215,6511,2014-09-01,Latur,9,green gram_latur
latur,gram,2014,6455,2368,3061,2826,2014-09-01,Latur,9,gram_latur
ausa,sunflower,2014,26,2581,2913,2781,2014-09-01,Latur,9,sunflower_ausa
ausa,safflower,2014,69,2342,2514,2456,2014-09-01,Latur,9,safflower_ausa
nanded,turmeric,2014,392,5000,6058,5765,2014-09-01,Nanded,9,turmeric_nanded
barshi,green gram,2014,401,5126,6512,6138,2014-09-01,Solapur,9,green gram_barshi
jalgaon,lemon,2014,97,2150,3144,2561,2014-09-01,Jalgaon,9,lemon_jalgaon
jalgaon,ginger (fresh),2014,463,3177,5715,4577,2014-09-01,Jalgaon,9,ginger (fresh)_jalgaon
barshi,maize,2014,112,1300,1370,1322,2014-09-01,Solapur,9,maize_barshi
barshi,sorgum(jawar),2014,17272,1358,2582,1886,2014-09-01,Solapur,9,sorgum(jawar)_barshi
barshi,wheat(husked),2014,1162,1510,1736,1585,2014-09-01,Solapur,9,wheat(husked)_barshi
barshi,paddy-unhusked,2014,257,1494,1663,1632,2014-09-01,Solapur,9,paddy-unhusked_barshi
barshi,bajri,2014,7,1300,1600,1500,2014-09-01,Solapur,9,bajri_barshi
akluj,chillies(red),2014,343,2507,3486,3014,2014-09-01,Solapur,9,chillies(red)_akluj
akluj,brinjal,2014,171,1546,2323,1944,2014-09-01,Solapur,9,brinjal_akluj
akluj,shevga,2014,61,2308,3323,2866,2014-09-01,Solapur,9,shevga_akluj
akluj,cabbage,2014,211,543,886,700,2014-09-01,Solapur,9,cabbage_akluj
akluj,ladies finger,2014,72,1700,2536,2157,2014-09-01,Solapur,9,ladies finger_akluj
akluj,water melon,2014,100,680,1280,990,2014-09-01,Solapur,9,water melon_akluj
akluj,maize,2014,85,1360,1445,1415,2014-09-01,Solapur,9,maize_akluj
shegaon,mustard,2014,13,2761,2761,2761,2014-09-01,Buldhana,9,mustard_shegaon
raver,gram,2014,108,2293,2686,2588,2014-09-01,Jalgaon,9,gram_raver
raver,maize,2014,98,1177,1228,1214,2014-09-01,Jalgaon,9,maize_raver
raver,sorgum(jawar),2014,80,1230,1542,1520,2014-09-01,Jalgaon,9,sorgum(jawar)_raver
raver,wheat(husked),2014,1966,1324,1547,1413,2014-09-01,Jalgaon,9,wheat(husked)_raver
jalgaon,potato,2014,4200,1762,2382,2026,2014-09-01,Jalgaon,9,potato_jalgaon
jalgaon,ladies finger,2014,277,1518,2629,2088,2014-09-01,Jalgaon,9,ladies finger_jalgaon
jalgaon,cluster bean,2014,31,3892,4123,3969,2014-09-01,Jalgaon,9,cluster bean_jalgaon
jalgaon,cucumber,2014,177,693,1140,903,2014-09-01,Jalgaon,9,cucumber_jalgaon
jalgaon,onion,2014,3350,738,1450,1135,2014-09-01,Jalgaon,9,onion_jalgaon
jalgaon,bitter gourd,2014,106,2100,3394,2700,2014-09-01,Jalgaon,9,bitter gourd_jalgaon
jalgaon,mosambi,2014,200,1167,2300,1567,2014-09-01,Jalgaon,9,mosambi_jalgaon
jalgaon,cabbage,2014,251,700,1065,853,2014-09-01,Jalgaon,9,cabbage_jalgaon
jalgaon,garlic,2014,335,2067,4000,3067,2014-09-01,Jalgaon,9,garlic_jalgaon
jalgaon,spinach,2014,34,1780,1780,1780,2014-09-01,Jalgaon,9,spinach_jalgaon
jalgaon,wal papdi,2014,94,1618,2182,1891,2014-09-01,Jalgaon,9,wal papdi_jalgaon
